Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating,Rating color,Rating text,Votes,Cost Category,Primary Cuisine,Votes Normalized
6317637,Le Petit Souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"french, japanese, desserts",1100.0,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,high,french,0.028362305580969808
6304287,Izakaya Kikufuji,162,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,japanese,1200.0,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,high,japanese,0.05370539798719122
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"seafood, asian, filipino, indian",4000.0,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,high,seafood,0.02433668801463861
6318506,Ooma,162,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"japanese, sushi",1500.0,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,high,japanese,0.03302836230558097
6314302,Sambo Kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"japanese, korean",1500.0,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,high,japanese,0.02058554437328454
18189371,Din Tai Fung,162,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,chinese,1000.0,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,high,chinese,0.030375114364135408
6300781,Buffet 101,162,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"asian, european",2000.0,Botswana Pula(P),Yes,No,No,No,4,4.0,Green,Very Good,520,high,asian,0.04720951509606587
6301290,Vikings,162,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"seafood, filipino, asian, european",2000.0,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,high,seafood,0.061573650503202196
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"european, asian, indian",6000.0,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,high,european,0.05645013723696249
6314987,Locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,filipino,1100.0,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,high,filipino,0.048307410795974386
6309903,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"filipino, mexican",800.0,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,high,filipino,0.09752973467520586
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"american, ice cream, desserts",900.0,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,high,american,0.044281793229643186
6318433,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"filipino, mexican",800.0,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,high,filipino,0.026532479414455627
6310470,Guevarra's,162,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.0335917,14.59345,filipino,1000.0,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,high,filipino,0.04153705397987191
6314605,Sodam Korean Restaurant,162,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.03811,14.59889,korean,700.0,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,high,korean,0.020036596523330282
18185059,Cafe Arabelle,162,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05704,14.237082,"cafe, american, italian, filipino",800.0,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,high,cafe,0.0022872827081427266
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.0565874,14.23767897,"italian, pizza",850.0,Botswana Pula(P),No,No,No,No,3,4.0,Green,Very Good,72,high,italian,0.006221408966148216
6318213,Balay Dako,162,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",120.951589,14.101834,filipino,1200.0,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,high,filipino,0.018938700823421774
18255654,Hobing Korean Dessert Cafe,162,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"cafe, korean, desserts",600.0,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,medium,cafe,0.010430009149130833
6308205,Wildflour Cafe + Bakery,162,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"cafe, bakery, american, italian",1500.0,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,high,cafe,0.03549862763037511
6315438,NIU by Vikings,162,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,"seafood, american, mediterranean, japanese",3000.0,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,high,seafood,0.04858188472095151
6310406,The Food Hall by Todd English,162,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"american, asian, italian, seafood",1800.0,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,high,american,0.05617566331198536
6600681,Chez Michou,30,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88178889,-15.76414167,"fast food, french",55.0,Brazilian Real(R$),No,No,No,No,2,3.0,Orange,Average,6,low,fast food,0.00018298261665141812
6601005,Cafí© Daniel Briand,30,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88266667,-15.7775,cafe,30.0,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,low,cafe,0.0004574565416285453
6600292,Casa do Biscoito Mineiro,30,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88213611,-15.75747222,bakery,45.0,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,low,bakery,0.0006404391582799634
6600441,Maori,30,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88816667,-15.75883333,brazilian,60.0,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,low,brazilian,0.0006404391582799634
6600970,Pizza íæ Bessa,30,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.83116667,pizza,50.0,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,low,pizza,0.0006404391582799634
6600379,Sushi Loko,30,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91566667,-15.831,japanese,80.0,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,low,japanese,0.0005489478499542544
6600214,Beirute,30,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.9075,-15.82,arabian,90.0,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,low,arabian,0.00036596523330283625
6601218,New Koto,30,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.91016667,-15.82733333,japanese,200.0,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,low,japanese,9.149130832570906e-05
6600083,Villa Tevere,30,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,"Asa Sul, Brasí_lia",-47.92366667,-15.83133333,italian,150.0,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,low,italian,0.0007319304666056725
6601515,Rovereto,30,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.019,-15.83716667,pizza,100.0,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,low,pizza,0.0004574565416285453
6601361,Buena Carne,30,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.01909167,-15.839775,"bar food, brazilian",60.0,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,low,bar food,0.0004574565416285453
6601602,Taco Pep,30,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.01666667,-15.83483333,"mexican, grill",100.0,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,low,mexican,0.0022872827081427266
6601589,Coco Bambu,30,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte","Brasí_lia Shopping, Asa Norte, Brasí_lia",-47.889,-15.7865,international,230.0,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,low,international,0.0011893870082342176
6601862,Taypíç,30,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Lago Sul, Brasí_lia",-47.872359,-15.860621,"peruvian, latin american",100.0,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,low,peruvian,9.149130832570906e-05
6601595,Outback Steakhouse,30,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","ParkShopping, Guaríç I, Brasí_lia",-47.95628333,-15.83451389,"american, grill",150.0,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10,low,american,0.0005489478499542544
6601158,Manzuíç,30,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul","Pontí£o Lago Sul, Lago Sul, Brasí_lia",-47.87283333,-15.82566667,seafood,240.0,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,low,seafood,0.00018298261665141812
6600427,Coco Bambu,30,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasí_lia",-47.8685,-15.819,international,230.0,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,low,international,0.0023787740164684353
6600116,Gero,30,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasí_lia",-47.885812,-15.720118,italian,350.0,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,medium,italian,0.00036596523330283625
6601457,Brazilian American Burgers,30,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"Sudoeste, Brasí_lia",-47.92102778,-15.79753056,"american, burger",50.0,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,low,american,0.0004574565416285453
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"seafood, bar food, brazilian",140.0,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,low,seafood,0.0002744739249771272
